keyword,tag,note
JavaScript,JavaScript,
TypeScript,TypeScript,
Python,Python,
Java,Java,
C++,C++,
C#,C#,
Go,Go,
Rust,Rust,
Kotlin,Kotlin,
Swift,Swift,
PHP,PHP,
Ruby,Ruby,
R,R,
SQL,SQL,
HTML,HTML,
CSS,CSS,
React,React,
Next.js,Next.js,
Vue,Vue,
Angular,Angular,
Svelte,Svelte,
Node.js,Node.js,
Spring,Spring,
Django,Django,
Flask,Flask,
FastAPI,FastAPI,
Express,Express,
NestJS,NestJS,
Laravel,Laravel,
Rails,Rails,
.NET,.NET,
jQuery,jQuery,
Bootstrap,Bootstrap,
Tailwind,Tailwind CSS,
TensorFlow,TensorFlow,
PyTorch,PyTorch,
Keras,Keras,
Pandas,Pandas,
NumPy,NumPy,
OpenCV,OpenCV,
데이터,데이터,
AI,AI,
인공지능,인공지능,
머신러닝,머신러닝,
딥러닝,딥러닝,
LLM,LLM,
AWS,AWS,
Azure,Azure,
GCP,GCP,
Docker,Docker,
Kubernetes,Kubernetes,
Jenkins,Jenkins,
Terraform,Terraform,
Linux,Linux,
Nginx,Nginx,
Apache,Apache,
Kafka,Kafka,
Redis,Redis,
Elasticsearch,Elasticsearch,
GraphQL,GraphQL,
REST API,REST API,
gRPC,gRPC,
Microservices,Microservices,
MySQL,MySQL,
PostgreSQL,PostgreSQL,
MongoDB,MongoDB,
Oracle,Oracle,
SQLite,SQLite,
Firebase,Firebase,
프론트엔드,프론트엔드,
백엔드,백엔드,
풀스택,풀스택,
웹 개발,웹 개발,
모바일,모바일,
DevOps,DevOps,
MLOps,MLOps,
SRE,SRE,
보안,보안,
QA,QA,
UI/UX,UI/UX,
PM,PM,
기획,기획,
데이터 분석,데이터 분석,
데이터 엔지니어,데이터 엔지니어,
사무,사무,
Git,Git,
GitHub,GitHub,
GitLab,GitLab,
Bitbucket,Bitbucket,
Jira,Jira,
Confluence,Confluence,
Notion,Notion,
Figma,Figma,
Slack,Slack,
Excel,Excel,
PowerPoint,PowerPoint,
Word,Word,
